Rank,minutes,goals,assists,clean_sheets,saves,penalty_saves,bonus,goals_conceded,own_goals,penalty_misses,yellow_cards,red_cards
1,Siddhant (167) ,Danny (108) ,arjun (60) ,Danny (66) ,Daniel (8) ,Denis (10) ,Danny (37) ,Justin (-7) ,Bill (0) ,Bill (0) ,Jia Hong (-2) ,Siddhant (0) 
2,Danny (164) ,Thomas (93) ,Siddhant (45) ,Siddhant (65) ,Denis (8) ,Subham (5) ,Daniel (32) ,Daniel (-12) ,Subham (0) ,Daniel (0) ,Justin (-7) ,Danny (0) 
3,Thomas (161) ,Dhananjay (68) ,Denis (36) ,Daniel (53) ,Bill (6) ,Justin (5) ,Subham (32) ,Danny (-12) ,Siddhant (0) ,Subham (0) ,Danny (-9) ,Thomas (0) 
4,Daniel (151) ,Subham (64) ,Daniel (33) ,Denis (52) ,Subham (6) ,Bill (0) ,arjun (32) ,arjun (-12) ,Danny (0) ,Siddhant (0) ,Siddhant (-10) ,Jia Hong (0) 
5,Dhananjay (151) ,Justin (60) ,Dhananjay (30) ,Subham (49) ,arjun (6) ,Daniel (0) ,Thomas (28) ,Siddhant (-13) ,Thomas (0) ,Thomas (0) ,Thomas (-11) ,Denis (0) 
6,Denis (149) ,arjun (58) ,Justin (30) ,Dhananjay (42) ,Justin (6) ,Siddhant (0) ,Siddhant (27) ,Nathan (-13) ,Denis (0) ,Jia Hong (0) ,Denis (-11) ,arjun (0) 
7,Bill (147) ,Siddhant (55) ,Bill (27) ,Justin (42) ,Nathan (5) ,Danny (0) ,Nathan (26) ,Dhananjay (-14) ,Dhananjay (0) ,Denis (0) ,arjun (-11) ,Justin (0) 
8,Subham (145) ,Nathan (54) ,Danny (27) ,Thomas (40) ,Jia Hong (3) ,Thomas (0) ,Dhananjay (25) ,Thomas (-16) ,arjun (0) ,arjun (0) ,Nathan (-11) ,Bill (-3) 
9,Nathan (143) ,Daniel (51) ,Jia Hong (27) ,Nathan (40) ,Siddhant (2) ,Jia Hong (0) ,Denis (23) ,Denis (-16) ,Nathan (0) ,Nathan (0) ,Subham (-12) ,Daniel (-3) 
10,arjun (139) ,Jia Hong (38) ,Nathan (27) ,arjun (36) ,Danny (2) ,Dhananjay (0) ,Justin (15) ,Subham (-17) ,Justin (0) ,Justin (0) ,Dhananjay (-12) ,Subham (-3) 
11,Jia Hong (136) ,Denis (21) ,Subham (21) ,Bill (29) ,Thomas (1) ,arjun (0) ,Jia Hong (13) ,Bill (-18) ,Daniel (-4) ,Danny (-2) ,Daniel (-13) ,Dhananjay (-3) 
12,Justin (131) ,Bill (19) ,Thomas (18) ,Jia Hong (18) ,Dhananjay (1) ,Nathan (0) ,Bill (10) ,Jia Hong (-19) ,Jia Hong (-4) ,Dhananjay (-4) ,Bill (-14) ,Nathan (-3) 
